,ISIN,Code,Name,Country,Exchange,Currency,Type,ExchangeCode,ETF Underlying Index Ticker,Dvd Freq
1286,US98978V1035,ZTS,ZOETIS INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1287,US98986T1088,ZNGA,ZYNGA INC - CL A,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1288,US62914V1061,NIO,NIO INC - ADR,USA,US,USD,ADR,US,#N/A Field Not Applicable,None
1289,PA1436583006,CCL,CARNIVAL CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Irreg
1290,BMG667211046,NCLH,NORWEGIAN CRUISE LINE HOLDIN,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1291,US13123X1028,CPECAD,CALLON PETROLEUM CO,USA,US,CAD,Common Stock,US,#N/A Field Not Applicable,#N/A N/A
1292,US45773H2013,INO,INOVIO PHARMACEUTICALS INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1293,FI0009000681,NOKIA,NOKIA OYJ,Finland,FH,EUR,Common Stock,HE,#N/A Field Not Applicable,Irreg
1294,US55616P1049,M,MACY'S INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Irreg
1295,US29273V1008,ET,ENERGY TRANSFER LP,USA,US,USD,MLP,US,#N/A Field Not Applicable,Quarter
1296,US55272X1028,MFA,MFA FINANCIAL INC,USA,US,USD,REIT,US,#N/A Field Not Applicable,Quarter
1297,US5529531015,MGM,MGM RESORTS INTERNATIONAL,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1298,US83587F2020,SRNE,SORRENTO THERAPEUTICS INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1299,US35952H6018,FCEL,FUELCELL ENERGY INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1300,US92766K1060,SPCE,VIRGIN GALACTIC HOLDINGS INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1301,LR0008862868,RCL,ROYAL CARIBBEAN CRUISES LTD,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Irreg
1302,US72919P2020,PLUG,PLUG POWER INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1303,US83088V1026,WORK,SLACK TECHNOLOGIES INC- CL A,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1304,US4771431016,JBLU,JETBLUE AIRWAYS CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1305,US92243A2006,VXRT,VAXART INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1306,US91232N2071,USO,UNITED STATES OIL FUND LP,USA,US,USD,ETP,US,#N/A Field Not Applicable,None
1307,US6496045013,NYMT,NEW YORK MORTGAGE TRUST INC,USA,US,USD,REIT,US,#N/A Field Not Applicable,Quarter
1308,US5006881065,KOS,KOSMOS ENERGY LTD,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Irreg
1309,US98980L1017,ZM,ZOOM VIDEO COMMUNICATIONS-A,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1310,US64828T2015,NRZ,NEW RESIDENTIAL INVESTMENT,USA,US,USD,REIT,US,#N/A Field Not Applicable,Quarter
1311,US7075691094,PENN,PENN NATIONAL GAMING INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1312,US88688T1007,TLRY,TILRAY INC-CLASS 2 COMMON,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1313,US70614W1009,PTON,PELOTON INTERACTIVE INC-A,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1314,US74347Y8883,UCO,PROSHARES ULTRA BLOOMBERG CR,USA,US,USD,ETP,US,BCBCLI,None
1315,US98138J2069,WKHS,WORKHORSE GROUP INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1316,CA22717L1013,CRON,CRONOS GROUP INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,#N/A N/A
1317,US00165C1045,AMC,AMC ENTERTAINMENT HLDS-CL A,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Irreg
1318,US26142R1041,DKNG,DRAFTKINGS INC - CL A,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1319,CA03765K1049,APHA,APHRIA INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1320,CA05156X8843,ACB,AURORA CANNABIS INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1321,US6541101050,NKLA,NIKOLA CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1322,US2383371091,PLAY,DAVE & BUSTER'S ENTERTAINMEN,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Irreg
1323,US88338N1072,TXMD,THERAPEUTICSMD INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1324,MHY737601945,SHIP,SEANERGY MARITIME HOLDINGS,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Irreg
1325,US25460G5009,GUSH,DIREXION DAILY S&P OIL & GAS,USA,US,USD,ETP,US,SPSIOPTR,Quarter
1326,US14888U1016,CPRX,CATALYST PHARMACEUTICALS INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1327,US92854Q1067,VSLR,VIVINT SOLAR INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1328,US92686J1060,VKTX,VIKING THERAPEUTICS INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1329,JP3435000009,6758,SONY GROUP CORP,Japan,JT,JPY,Common Stock,TSE,#N/A Field Not Applicable,Semi-Anl
1330,US21833P1030,CRBP,CORBUS PHARMACEUTICALS HOLDI,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1331,JP3756600007,7974,NINTENDO CO LTD,Japan,JT,JPY,Common Stock,TSE,#N/A Field Not Applicable,Semi-Anl
1332,FR0000120107,SAVE,SAVENCIA SA,France,FP,EUR,Common Stock,PA,#N/A Field Not Applicable,Annual
1333,US83304A1060,SNAP,SNAP INC - A,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
